translation,native,lang,text,transcription
до свидания,ru,en,goodbye,gʊdˈbaɪ
доброе утро,ru,en,good morning,ɡʊd ˈmɔːnɪŋ
добрый вечер,ru,en,good evening,gʊd ˈiːvnɪŋ
добрый день,ru,en,good afternoon,gʊd ɑːftəˈnuːn
дорого,ru,en,expensive,ɪksˈpensɪv
здравствуйте,ru,en,hello,həˈləʊ
извините,ru,en,excuse me,ɪksˈkjuːs miː
пожалуйста,ru,en,please,pliːz
простите,ru,en,I'm sorry,
размер,ru,en,size,saɪz
сколько это стоит,ru,en,how much does it cost,
слишком большой,ru,en,too large,tuː lɑːʤ
слишком маленький,ru,en,too small,tuː smɔːl
спасибо,ru,en,thank you,θæŋk juː
я не понимаю,ru,en,I do not understand,
,,,,
до свидания,ru,de,auf wiedersehen,aʊ̯f ˈviːdɐˌzeːən
доброе утро,ru,de,,
добрый вечер,ru,de,guten Abend,ˈɡuːtn̩ ˈaːbn̩t
добрый день,ru,de,guten Tag,ˈɡuːtn̩ taːk
дорого,ru,de,teuer,ˈtɔɪ̯ɐ
здравствуйте,ru,de,,
извините,ru,de,entschuldigen,ɛntˈʃʊldɪɡn̩
пожалуйста,ru,de,bitte,ˈbɪtə
простите,ru,de,entschuldigung,ɛntˈʃʊldɪɡʊŋ
размер,ru,de,Größe,ˈɡʁøːsə
сколько это стоит,ru,de,wie viel kostet es,
слишком большой,ru,de,zu groß,ʦuː ɡʁoːs
слишком маленький,ru,de,zu kleine,ʦuː ˈklaɪ̯nə
спасибо,ru,de,danke,ˈdaŋkə
я не понимаю,ru,de,Ich verstehe nicht,ɪç fɛɐ̯ˈʃteːən nɪçt
,,,,
до свидания,ru,fr,au revoir,"o ʁəvwaʁ, ɔʁvwaʁ"
доброе утро,ru,fr,,
добрый вечер,ru,fr,,
добрый день,ru,fr,,
дорого,ru,fr,coûteux,kutø
здравствуйте,ru,fr,bonjour,bɔ̃ʒuʁ
извините,ru,fr,excusez-moi,ɛkskyze mwa
пожалуйста,ru,fr,s'il vous plaît,
простите,ru,fr,pardonnez-moi,paʁdɔne mwa
размер,ru,fr,taille,"taj, tɑj"
сколько это стоит,ru,fr,combien ça coûte,kɔ̃bjɛ̃ sa kute
слишком большой,ru,fr,trop grande,tʁo ɡʁɑ̃
слишком маленький,ru,fr,trop petite,tʁo pəti
спасибо,ru,fr,merci,mɛʁsi
я не понимаю,ru,fr,je ne comprends pas,
,,,,
до свидания,ru,it,arrivederci,arriveˈderʧi
доброе утро,ru,it,buongiorno,bwɔnˈʤorno
добрый вечер,ru,it,buona sera,ˈbwɔno ˈsera
добрый день,ru,it,buon giorno,ˈbwɔn ˈʤorno
дорого,ru,it,costoso,"kosˈtoso, kosˈtozo"
здравствуйте,ru,it,salve,ˈsalve
извините,ru,it,scusami,
пожалуйста,ru,it,prego,ˈprɛɡo
простите,ru,it,mi dispiace,ˈmi dispjaˈʧere
размер,ru,it,dimensione,dimenˈsjone
сколько это стоит,ru,it,quanto costa,ˈkwanto ˈkɔsta
слишком большой,ru,it,troppo grande,ˈtroppo ˈɡrande
слишком маленький,ru,it,troppo piccole,ˈtroppo ˈpikkolo
спасибо,ru,it,ringraziamento,rinɡrattsjaˈmento
я не понимаю,ru,it,non capisco,
,,,,
до свидания,ru,es,hasta la vista,ˈasta la ˈbista
доброе утро,ru,es,buenos días,ˈbweno ˈdias
добрый вечер,ru,es,buenas noches,ˈbwenas ˈnot͡ʃe
добрый день,ru,es,buenas tardes,ˈbwenas ˈtaɾdes
дорого,ru,es,costoso,kosˈtoso
здравствуйте,ru,es,salve,salˈβaɾ
извините,ru,es,con permiso,kon peɾˈmiso
пожалуйста,ru,es,por favor,poɾ faˈβoɾ
простите,ru,es,perdón,peɾˈdon
размер,ru,es,tamaño ,taˈmaɲo
сколько это стоит,ru,es,cuánto cuesta,ˈkwanto ˈkwesta
слишком большой,ru,es,demasiado grande,demaˈsjaðo ˈɡɾande
слишком маленький,ru,es,demasiado pequeño,demaˈsjaðo peˈkeɲo
